INFO 2026-06-21 22:10:48,792 autoreload Watching for file changes with StatReloader
INFO 2026-06-21 23:23:43,621 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-21 23:23:43,628 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-21 23:23:43,641 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-21 23:23:43,656 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-21 23:23:43,707 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-21 23:23:43,742 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-21 23:23:44,109 basehttp "GET /media/product_images/almonds.jpg HTTP/1.1" 200 763796
INFO 2026-06-21 23:23:44,119 basehttp "GET /media/product_images/raisins.jpg HTTP/1.1" 200 871879
INFO 2026-06-21 23:23:44,121 basehttp "GET /media/product_images/cashews.jpg HTTP/1.1" 200 802395
INFO 2026-06-21 23:23:44,122 basehttp "GET /media/product_images/mix_seeds.jpg HTTP/1.1" 200 843059
INFO 2026-06-21 23:23:44,122 basehttp "GET /media/product_images/pistachios.jpg HTTP/1.1" 200 845635
INFO 2026-06-21 23:23:44,124 basehttp "GET /media/product_images/walnuts.jpg HTTP/1.1" 200 913756
INFO 2026-06-21 23:26:59,071 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-21 23:26:59,072 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-21 23:26:59,074 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-21 23:26:59,075 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-21 23:26:59,134 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-21 23:26:59,152 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-21 23:26:59,475 basehttp "GET /media/product_images/walnuts.jpg HTTP/1.1" 200 913756
INFO 2026-06-21 23:26:59,481 basehttp "GET /media/product_images/almonds.jpg HTTP/1.1" 200 763796
INFO 2026-06-21 23:26:59,481 basehttp "GET /media/product_images/cashews.jpg HTTP/1.1" 200 802395
INFO 2026-06-21 23:26:59,484 basehttp "GET /media/product_images/mix_seeds.jpg HTTP/1.1" 200 843059
INFO 2026-06-21 23:26:59,485 basehttp "GET /media/product_images/pistachios.jpg HTTP/1.1" 200 845635
INFO 2026-06-21 23:26:59,489 basehttp "GET /media/product_images/raisins.jpg HTTP/1.1" 200 871879
INFO 2026-06-21 23:33:00,406 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-21 23:33:00,412 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-21 23:33:00,419 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-21 23:33:00,420 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-21 23:33:00,491 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-21 23:33:00,496 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-21 23:33:00,862 basehttp "GET /media/product_images/almonds.jpg HTTP/1.1" 200 763796
INFO 2026-06-21 23:33:00,864 basehttp "GET /media/product_images/raisins.jpg HTTP/1.1" 200 871879
INFO 2026-06-21 23:33:00,868 basehttp "GET /media/product_images/walnuts.jpg HTTP/1.1" 200 913756
INFO 2026-06-21 23:33:00,869 basehttp "GET /media/product_images/mix_seeds.jpg HTTP/1.1" 200 843059
INFO 2026-06-21 23:33:00,873 basehttp "GET /media/product_images/cashews.jpg HTTP/1.1" 200 802395
INFO 2026-06-21 23:33:00,874 basehttp "GET /media/product_images/pistachios.jpg HTTP/1.1" 200 845635
INFO 2026-06-21 23:33:47,182 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-21 23:33:47,186 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-21 23:33:47,192 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-21 23:33:47,194 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-21 23:33:47,255 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-21 23:33:47,278 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-21 23:33:47,752 basehttp "GET /media/product_images/almonds.jpg HTTP/1.1" 200 763796
INFO 2026-06-21 23:33:47,754 basehttp "GET /media/product_images/raisins.jpg HTTP/1.1" 200 871879
INFO 2026-06-21 23:33:47,757 basehttp "GET /media/product_images/walnuts.jpg HTTP/1.1" 200 913756
INFO 2026-06-21 23:33:47,760 basehttp "GET /media/product_images/pistachios.jpg HTTP/1.1" 200 845635
INFO 2026-06-21 23:33:47,763 basehttp "GET /media/product_images/mix_seeds.jpg HTTP/1.1" 200 843059
INFO 2026-06-21 23:33:47,765 basehttp "GET /media/product_images/cashews.jpg HTTP/1.1" 200 802395
INFO 2026-06-21 23:34:37,692 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-21 23:34:37,693 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-21 23:34:37,697 basehttp "GET /api/user/ HTTP/1.1" 200 24
INFO 2026-06-21 23:34:37,697 basehttp "GET /api/cart/ HTTP/1.1" 200 39
INFO 2026-06-21 23:34:37,749 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-21 23:34:37,749 basehttp "GET /api/home/ HTTP/1.1" 200 17517
INFO 2026-06-21 23:34:38,004 basehttp "GET /media/product_images/cashews.jpg HTTP/1.1" 200 802395
INFO 2026-06-21 23:34:38,005 basehttp "GET /media/product_images/almonds.jpg HTTP/1.1" 200 763796
INFO 2026-06-21 23:34:38,005 basehttp "GET /media/product_images/raisins.jpg HTTP/1.1" 200 871879
INFO 2026-06-21 23:34:38,006 basehttp "GET /media/product_images/mix_seeds.jpg HTTP/1.1" 200 843059
INFO 2026-06-21 23:34:38,007 basehttp "GET /media/product_images/walnuts.jpg HTTP/1.1" 200 913756
INFO 2026-06-21 23:34:38,008 basehttp "GET /media/product_images/pistachios.jpg HTTP/1.1" 200 845635
